Time_ms,Neuron_membrane_potential_mV
6.37,-70.33386728
6.38,-70.32714814
6.39,-70.32041026
6.4,-70.31365365
6.41,-70.3068783
6.42,-70.3000842
6.43,-70.29327136
6.44,-70.28643977
6.45,-70.27958944
6.46,-70.27272037
6.47,-70.26583254
6.48,-70.25892597
6.49,-70.25200066
6.5,-70.24505659
6.51,-70.23809378
6.52,-70.23111223
6.53,-70.22411194
6.54,-70.2170929
6.55,-70.21005512
6.56,-70.20299861
6.57,-70.19592336
6.58,-70.18882938
6.59,-70.18171667
6.6,-70.17458523
6.61,-70.16743508
6.62,-70.16026621
6.63,-70.15307862
6.64,-70.14587233
6.65,-70.13864733
6.66,-70.13140363
6.67,-70.12414125
6.68,-70.11686017
6.69,-70.10956042
6.7,-70.10224199
6.71,-70.09490489
6.72,-70.08754914
6.73,-70.08017473
6.74,-70.07278168
6.75,-70.06536999
6.76,-70.05793967
6.77,-70.05049073
6.78,-70.04302319
6.79,-70.03553704
6.8,-70.0280323
6.81,-70.02050897
6.82,-70.01296708
6.83,-70.00540662
6.84,-69.99782762
6.85,-69.99023007
6.86,-69.982614
6.87,-69.97497941
6.88,-69.96732632
6.89,-69.95965473
6.9,-69.95196467
6.91,-69.94425614
6.92,-69.93652916
6.93,-69.92878374
6.94,-69.92101989
6.95,-69.91323764
6.96,-69.90543699
6.97,-69.89761795
6.98,-69.88978055
6.99,-69.88192481
7,-69.87405072
7.01,-69.86615832
7.02,-69.85824762
7.03,-69.85031863
7.04,-69.84237137
7.05,-69.83440587
7.06,-69.82642213
7.07,-69.81842017
7.08,-69.81040002
7.09,-69.80236169
7.1,-69.7943052
7.11,-69.78623058
7.12,-69.77813783
7.13,-69.77002698
7.14,-69.76189805
7.15,-69.75375107
7.16,-69.74558604
7.17,-69.737403
7.18,-69.72920196
7.19,-69.72098295
7.2,-69.71274599
7.21,-69.7044911
7.22,-69.6962183
7.23,-69.68792762
7.24,-69.67961907
7.25,-69.67129269
7.26,-69.6629485
7.27,-69.65458652
7.28,-69.64620678
7.29,-69.63780929
7.3,-69.62939409
7.31,-69.62096121
7.32,-69.61251066
7.33,-69.60404248
7.34,-69.59555668
7.35,-69.58705331
7.36,-69.57853237
7.37,-69.56999391
7.38,-69.56143795
7.39,-69.55286451
7.4,-69.54427363
7.41,-69.53566534
7.42,-69.52703965
7.43,-69.51839661
7.44,-69.50973624
7.45,-69.50105857
7.46,-69.49236363
7.47,-69.48365146
7.48,-69.47492207
7.49,-69.46617551
7.5,-69.4574118
7.51,-69.44863098
7.52,-69.43983308
7.53,-69.43101813
7.54,-69.42218616
7.55,-69.41333721
7.56,-69.4044713
7.57,-69.39558848
7.58,-69.38668877
7.59,-69.37777221
7.6,-69.36883884
7.61,-69.35988868
7.62,-69.35092177
7.63,-69.34193816
7.64,-69.33293787
7.65,-69.32392093
7.66,-69.3148874
7.67,-69.30583729
7.68,-69.29677065
7.69,-69.28768752
7.7,-69.27858793
7.71,-69.26947192
7.72,-69.26033952
7.73,-69.25119078
7.74,-69.24202573
7.75,-69.23284442
7.76,-69.22364687
7.77,-69.21443314
7.78,-69.20520325
7.79,-69.19595726
7.8,-69.18669519
7.81,-69.17741709
7.82,-69.168123
7.83,-69.15881296
7.84,-69.14948701
7.85,-69.14014519
7.86,-69.13078755
7.87,-69.12141412
7.88,-69.11202495
7.89,-69.10262008
7.9,-69.09319955
7.91,-69.08376341
7.92,-69.07431169
7.93,-69.06484445
7.94,-69.05536172
7.95,-69.04586355
7.96,-69.03634999
7.97,-69.02682107
7.98,-69.01727685
7.99,-69.00771737
8,-68.99814266
8.01,-68.98855279
8.02,-68.97894779
8.03,-68.96932771
8.04,-68.9596926
8.05,-68.9500425
8.06,-68.94037746
8.07,-68.93069752
