Time(ms),WT_avg_1050,WT+sem_1050,WT-sem_1050,P_avg_1050,P+sem_1050,P-sem_1050,EPN_avg_1050,EPN+sem_1050,EPN-sem_1050,Time_ms,WT_avg_10ms,WT+sem_10ms,WT-sem_10ms,P_avg_10ms,P+sem_10ms,P-sem_10ms,EPN_avg_10ms,EPN+sem_10ms,EPN-sem_10ms,Time_ms,WT_avg_dVdt,WT+sem_dVdt,WT-sem_dVdt,P_avg_dVdt,P+sem_dVdt,P-sem_dVdt,EPN_avg_dVdt,EPN+sem_dVdt,EPN-sem_dVdt,WT_RMP_mV,P_RMP_mV,EPN_RMP_mV,WT_Overshoot_mV,P_Overshoot_mV,EPN_Overshoot_mV,WT_Amplitude_mV,P_Amplitude_mV,EPN_Amplitude_mV,WT_APD_10-50_ms,P_APD_10-50_ms,EPN_APD_10-50_ms,WT_dVdtmax_V_per_s,P_dVdtmax_V_per_s,EPN_dVdtmax_V_per_s,WT_dVdtmin_V_per_s,P_dVdtmin_V_per_s,EPN_dVdtmin_V_per_s,WT_refractory_period,P_refractory_period,EPN_refractory_period
0.6,23.23323576,28.232086,18.23438551,19.73340898,22.87726873,16.58954924,14.41848585,18.61374003,10.22323167,0.6,-62.93339878,-61.23433622,-64.63246133,-63.16357379,-59.40297714,-66.92417045,-62.30842705,-56.70726968,-67.90958442,0.6,50.20224232,58.69439234,41.7100923,51.25676335,61.75911086,40.75441585,44.21316938,54.32443751,34.10190125,,,,,,,,,,,,,,,,,,,,,
0.62,24.01312941,28.71828509,19.30797374,20.14030992,23.0443216,17.23629823,15.33401321,19.13059599,11.53743043,0.62,-61.84832891,-60.08890367,-63.60775414,-62.62103907,-58.66636612,-66.57571203,-61.45393486,-55.6240869,-67.28378282,0.62,55.94249831,65.78161732,46.1033793,58.62390878,70.39463496,46.85318261,51.23858891,62.046257,40.43092081,,,,,,,,,,,,,,,,,,,,,
0.64,24.11485467,28.72687793,19.50283141,20.68284453,23.56568873,17.80000033,15.66970658,19.49161019,11.84780298,0.64,-60.86498515,-59.28937059,-62.4405997,-61.02734333,-56.77572167,-65.27896498,-60.08064384,-53.93194772,-66.22933997,0.64,61.77486398,73.16304851,50.38667946,69.9002872,84.8227024,54.97787201,58.75486593,69.36956411,48.14016775,,,,,,,,,,,,,,,,,,,,,
0.66,24.75911466,29.21739715,20.30083216,20.47939396,23.33568263,17.62310529,16.3105757,20.00005021,12.62110119,0.66,-59.30519825,-57.55054224,-61.05985425,-59.73882336,-54.98247558,-64.49517114,-58.70735321,-52.70370335,-64.71100307,0.66,69.73227861,82.30821234,57.15634489,79.02705002,95.87389615,62.18020388,63.01167984,73.47294097,52.55041871,,,,,,,,,,,,,,,,,,,,,
0.68,25.19992418,29.5079118,20.89193656,21.19147078,23.93852312,18.44441844,16.37161083,20.21006031,12.53316135,0.68,-57.7454105,-56.03202638,-59.45879461,-58.51812024,-53.70058653,-63.33565395,-57.63923798,-51.29662864,-63.98184731,0.68,79.66993162,92.67579603,66.66406722,83.91454803,101.0282209,66.80087513,64.50743923,74.86564061,54.14923786,,,,,,,,,,,,,,,,,,,,,
0.7,24.86083998,28.99333317,20.72834678,21.15756236,24.13050824,18.18461648,16.40212841,20.37193692,12.4323199,0.7,-56.32125685,-54.33072306,-58.31179064,-57.46695942,-52.36289671,-62.57102214,-56.1133585,-49.62942368,-62.59729332,0.7,90.29592768,103.4595155,77.13233986,88.60792033,104.8171543,72.39868634,67.00400143,76.73740792,57.27059493,,,,,,,,,,,,,,,,,,,,,
0.72,24.75911472,28.77947493,20.7387545,20.54721088,23.78671159,17.30771017,16.76833916,20.76873648,12.76794184,0.72,-54.25284322,-52.10518864,-56.40049781,-55.46636264,-50.14316152,-60.78956376,-54.7095499,-48.18363207,-61.23546774,0.72,101.0556704,114.9963898,87.11495109,96.23489846,111.1454355,81.32436144,71.97125511,80.68920814,63.25330209,,,,,,,,,,,,,,,,,,,,,
0.74,24.42003049,28.23706378,20.60299719,19.86904248,23.20005798,16.53802698,15.88332958,20.07810075,11.68855841,0.74,-51.98097907,-49.59397188,-54.36798627,-53.60139953,-47.98410345,-59.2186956,-53.61091709,-47.1134941,-60.10834008,0.74,111.8809912,126.6634145,97.09856793,106.5501921,121.4683515,91.63203272,81.21999474,89.72911514,72.71087433,,,,,,,,,,,,,,,,,,,,,
0.76,24.25048839,28.01680663,20.48417015,19.59777511,23.32026003,15.8752902,15.85281181,20.17575801,11.52986562,0.76,-49.74302334,-47.15673107,-52.32931561,-51.56689432,-45.66665188,-57.46713676,-51.5052042,-44.94640852,-58.06399988,0.76,122.9976879,138.5171052,107.4782706,118.945162,135.2124815,102.6778426,93.90513916,103.389045,84.42123334,,,,,,,,,,,,,,,,,,,,,
0.78,23.67404524,27.21768682,20.13040367,19.08914884,23.13407762,15.04422006,15.24246035,19.82108462,10.66383607,0.78,-47.36943393,-44.54175635,-50.19711152,-49.66802279,-43.52533597,-55.81070961,-49.12483311,-42.43632541,-55.81334081,0.78,134.4761921,151.2309003,117.7214838,131.8233388,149.2627084,114.3839693,103.2348778,114.4231041,92.04665147,,,,,,,,,,,,,,,,,,,,,
